Loop1.thisRepN,Loop1.thisTrialN,Loop1.thisN,Loop1.thisIndex,videos,DrinkingPass,CongruentIncongruent,Key_welcome_response.keys,Key_welcome_response.rt,Key_welcome_response.started,Key_welcome_response.stopped,Welcome_text.started,Welcome_text.stopped,polygon.started,polygon.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,space,0.9753442000364885,10.459518200019374,None,,,,,n,001,2021_Nov_05_1045,trial,2021.2.3,60.14350238312741,
,,,,,,,,,,,10.459518200019374,None,11.461445499910042,None,,,,,,,
