Loop1.thisRepN,Loop1.thisTrialN,Loop1.thisN,Loop1.thisIndex,videos,DrinkingPass,CongruentIncongruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,filename_image,Key_welcome_response.keys,Key_welcome_response.rt,Key_welcome_response.started,Key_welcome_response.stopped,Welcome_text.started,Welcome_text.stopped,polygon.started,polygon.stopped,No_background_image.started,No_background_image.stopped,Trial_response.x,Trial_response.y,Trial_response.leftButton,Trial_response.midButton,Trial_response.rightButton,Trial_response.started,Trial_response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,1.3632826999528334,9.717794999945909,None,,,,,,,,,,,,,,f,001,2021_Nov_05_1320,trial,2021.2.3,60.13590716294416,
,,,,,,,,,,,,,,,,9.717794999945909,None,11.115050199907273,None,31.981519399909303,None,-0.032407407407407406,-0.020370370370370372,1,0,0,0.0033232501009479165,None,,,,,,,
