Loop1.thisRepN,Loop1.thisTrialN,Loop1.thisN,Loop1.thisIndex,videos,DrinkingPass,CongruentIncongruent,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,filename_image,Key_welcome_response.keys,Key_welcome_response.rt,Key_welcome_response.started,Key_welcome_response.stopped,Welcome_text.started,Welcome_text.stopped,polygon.started,polygon.stopped,No_background_image.started,No_background_image.stopped,Trial_response.x,Trial_response.y,Trial_response.leftButton,Trial_response.midButton,Trial_response.rightButton,Trial_response.started,Trial_response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,space,0.7130838000448421,11.462579100043513,None,,,,,,,,,,,,,,k,001,2021_Nov_05_1321,trial,2021.2.3,60.57111288604392,
,,,,,,,,,,,,,,,,11.462579100043513,None,12.212755699991249,None,28.448403700022027,None,-0.023148148148148147,0.025,1,0,0,0.0009753331542015076,None,,,,,,,
