Loop1.thisRepN,Loop1.thisTrialN,Loop1.thisN,Loop1.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Key_welcome_response.keys,Key_welcome_response.rt,Key_welcome_response.started,Key_welcome_response.stopped,Welcome_text.started,Welcome_text.stopped,polygon.started,polygon.stopped,No_background_image.started,No_background_image.stopped,Trial_response.x,Trial_response.y,Trial_response.leftButton,Trial_response.midButton,Trial_response.rightButton,Trial_response.started,Trial_response.stopped,goodbye.started,goodbye.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,15.95323870005086,9.096057699993253,None,,,,,,,,,,,,,,,,,,,,h,001,2021_Nov_05_1350,trial,2021.2.3,60.20165141718024,
,,,,,,,,,,,,9.096057699993253,None,25.080466500017792,None,79.17980949999765,None,0.024074074074074074,-0.006481481481481481,1,0,0,0.013683180091902614,None,81.36132769996766,None,space,10.541591600049287,81.36132769996766,None,h,001,2021_Nov_05_1350,trial,2021.2.3,60.20165141718024,
